PeriR,MO1,BoneR,PeriL,BoneL
247.424,179.429,265.000,276.969,120.714
262.175,183.596,240.570,274.140,103.529
278.002,196.093,221.966,281.766,99.342
295.777,211.375,210.748,297.567,102.364
316.990,224.364,212.829,318.063,117.624
341.627,231.369,236.030,339.375,150.540
368.050,233.385,281.777,358.607,187.783
395.595,232.388,335.958,375.281,232.125
421.473,230.353,392.968,389.910,280.694
442.288,229.309,439.950,404.637,329.279
456.354,230.887,467.857,420.497,379.183
461.507,235.154,466.091,438.188,422.690
457.668,241.387,443.488,457.476,461.836
446.853,249.586,403.106,478.058,490.921
431.596,259.139,355.598,498.863,505.753
415.162,269.721,308.754,519.899,508.436
398.568,280.152,267.890,540.617,498.370
382.930,289.199,233.810,561.089,483.409
368.871,295.723,204.253,580.156,471.334
356.775,298.805,184.324,595.637,464.352
347.062,297.813,171.146,606.233,469.416
340.801,292.665,165.482,609.769,479.415
338.504,283.382,164.773,604.327,489.332
339.538,270.589,168.162,589.291,492.793
342.949,254.138,173.920,563.717,487.658
348.174,235.608,178.571,528.160,471.748
354.931,215.914,178.427,484.457,440.241
362.978,197.538,177.409,434.039,402.353
371.781,182.597,174.319,380.859,361.678
381.297,172.869,168.643,326.560,323.895
389.415,169.497,164.767,273.134,291.808
394.528,171.973,157.398,381.665,264.037
394.803,179.408,148.594,412.846,243.444
389.129,190.560,136.711,443.111,232.823
377.951,204.604,123.566,471.703,230.133
363.299,220.451,107.176,496.417,241.585
348.400,236.300,85.216,517.288,255.254
337.004,250.115,68.145,533.641,277.363
333.551,260.045,54.535,543.508,296.671
339.666,264.623,53.239,548.610,318.049
354.955,263.831,69.352,549.154,335.143
375.362,259.164,101.284,545.591,347.920
396.142,253.234,145.083,538.662,353.602
412.484,248.524,196.428,528.571,356.313
