GadSD    GadDD    DotSD    DotDD
248.579    230.4032    192.341    141.302
287.145    254.4072    212.013    288.919
208.243    272.084    331.08    225.734
222.545    370.0254    319    353.411
332.593    432.5845    325.12    395.844
340.124    494.12    280.994    424.493
345.557    540.2735    294.414    447.704
442.294    592.824    404.85    512.937
407.171    618.992    412.72    520.291
450.127    628.4015    414.811    412.023
448.723    521.532    209.581    455.83
241.445    498.8895    297.935    413.575
238.248    452.2024    178.293    314.424
217.474    313.9824    147.013    308.289
390.947    249.9445    134.28    174.322
148.47    204.3428    147.405    237.592
